EXÁMENES MÉDICO LEGALES POR PRESUNTO DELITO SEXUAL EN COLOMBIA AÑO 2021 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Amazonas.7,Amazonas.8,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Antioquia.7,Antioquia.8,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,Arauca.7,Arauca.8,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6","Archipiélago de San Andrés, Providencia y Santa Catalina.7","Archipiélago de San Andrés, Providencia y Santa Catalina.8",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,Atlántico.7,Atlántico.8,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6","Bogotá, D.C..7","Bogotá, D.C..8",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Bolívar.7,Bolívar.8,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Boyacá.7,Boyacá.8,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caldas.7,Caldas.8,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Caquetá.7,Caquetá.8,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Casanare.7,Casanare.8,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cauca.7,Cauca.8,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Cesar.7,Cesar.8,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Chocó.7,Chocó.8,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Córdoba.7,Córdoba.8,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Cundinamarca.7,Cundinamarca.8,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guainía.7,Guainía.8,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Guaviare.7,Guaviare.8,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,Huila.7,Huila.8,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,La Guajira.7,La Guajira.8,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Magdalena.7,Magdalena.8,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Meta.7,Meta.8,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Nariño.7,Nariño.8,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Norte de Santander.7,Norte de Santander.8,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Putumayo.7,Putumayo.8,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Quindío.7,Quindío.8,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Risaralda.7,Risaralda.8,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Santander.7,Santander.8,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Sucre.7,Sucre.8,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Tolima.7,Tolima.8,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Valle del Cauca.7,Valle del Cauca.8,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vaupés.7,Vaupés.8,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,Vichada.7,Vichada.8,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,Sin información.7,Sin información.8,CIFRA
Sin información,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,32,2,1,35,37,41
TOTAL,12,1,-,13,58,6,-,64,77,322,32,-,354,1542,406,-,1948,2302,23,2,-,25,209,26,-,235,260,2,1,-,3,19,8,-,27,30,101,13,-,114,714,149,-,863,977,474,63,-,537,2861,786,-,3647,4184,80,6,-,86,572,113,-,685,771,49,10,-,59,423,143,-,566,625,70,12,-,82,340,78,-,418,500,30,3,-,33,269,61,-,330,363,41,6,-,47,300,64,-,364,411,24,6,-,30,257,100,-,357,387,45,7,-,52,351,90,-,441,493,7,3,-,10,92,29,-,121,131,47,11,-,58,487,76,-,563,621,203,18,-,221,1123,272,-,1395,1616,-,-,-,-,40,8,-,48,48,9,-,-,9,64,13,-,77,86,78,12,-,90,472,102,-,574,664,35,2,-,37,281,58,-,339,376,44,5,-,49,339,79,-,418,467,88,5,-,93,532,109,-,641,734,3,4,-,7,60,45,-,105,112,78,6,-,84,416,82,-,498,582,19,1,-,20,148,29,-,177,197,67,8,-,75,320,53,-,373,448,95,10,-,105,530,115,-,645,750,113,15,-,128,793,152,-,945,1073,32,3,-,35,262,38,-,300,335,128,23,-,151,829,221,-,1050,1201,180,17,-,197,1147,294,-,1441,1638,5,-,-,5,41,8,-,49,54,1,-,-,1,14,1,-,15,16,2,1,1,4,66,7,1,74,78,22607
VARIABLE: TIPO DE DISCAPACIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditiva,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,2,-,2,2,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18
Física,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,2,1,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17
Mental,1,-,-,1,2,1,-,3,4,7,5,-,12,14,11,-,25,37,1,-,-,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,3,3,-,6,1,7,-,8,14,-,-,-,-,2,1,-,3,3,1,-,-,1,4,3,-,7,8,-,-,-,-,3,3,-,6,6,-,-,-,-,-,2,-,2,2,1,-,-,1,3,2,-,5,6,-,-,-,-,3,1,-,4,4,-,-,-,-,-,1,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,1,1,2,-,-,2,4,5,-,9,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,1,-,1,1,1,-,-,1,2,-,-,2,3,-,-,-,-,2,3,-,5,5,-,-,-,-,4,1,-,5,5,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,2,3,1,-,-,1,-,1,-,1,2,-,-,-,-,-,2,-,2,2,1,-,-,1,6,3,-,9,10,2,-,-,2,2,5,-,7,9,-,-,-,-,1,-,-,1,1,2,2,-,4,2,2,-,4,8,2,-,-,2,2,7,-,9,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164
Siquica,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,3,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19
Visual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
Discapacidad múltiple,-,-,-,-,-,-,-,-,-,1,1,-,2,4,4,-,8,10,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,2,-,-,-,-,2,1,-,3,3,-,-,-,-,-,1,-,1,1,-,-,-,-,1,3,-,4,4,-,-,-,-,1,1,-,2,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,3,-,3,3,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,-,-,1,3,-,-,-,-,3,4,-,7,7,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,2,-,2,1,-,-,1,3,1,-,-,1,1,-,-,1,2,-,1,-,1,-,-,-,-,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,5,5,-,-,-,-,2,-,-,2,2,-,-,-,-,2,-,-,2,2,2,-,-,2,3,-,-,3,5,-,1,-,1,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,2,-,2,4,2,-,6,8,1,-,-,1,2,2,-,4,5,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,78
Ninguna,11,1,-,12,56,5,-,61,73,313,25,-,338,1520,387,-,1907,2245,22,2,-,24,209,24,-,233,257,2,1,-,3,19,8,-,27,30,101,12,-,113,713,147,-,860,973,471,60,-,531,2856,775,-,3631,4162,80,6,-,86,570,110,-,680,766,48,10,-,58,417,136,-,553,611,70,11,-,81,336,74,-,410,491,30,3,-,33,266,56,-,322,355,40,6,-,46,296,59,-,355,401,23,6,-,29,252,98,-,350,379,45,7,-,52,351,89,-,440,492,7,2,-,9,91,28,-,119,128,47,9,-,56,486,75,-,561,617,201,18,-,219,1115,262,-,1377,1596,-,-,-,-,39,8,-,47,47,9,-,-,9,64,11,-,75,84,78,10,-,88,469,101,-,570,658,33,2,-,35,278,58,-,336,371,44,4,-,48,336,75,-,411,459,88,5,-,93,526,108,-,634,727,3,4,-,7,60,44,-,104,111,78,5,-,83,414,77,-,491,574,18,1,-,19,144,28,-,172,191,67,8,-,75,318,51,-,369,444,92,10,-,102,519,108,-,627,729,110,14,-,124,789,143,-,932,1056,32,3,-,35,261,38,-,299,334,126,19,-,145,820,214,-,1034,1179,177,17,-,194,1141,282,-,1423,1617,5,-,-,5,40,7,-,47,52,1,-,-,1,14,1,-,15,16,2,1,-,3,66,7,1,74,77,22302
TOTAL,12,1,-,13,58,6,-,64,77,322,32,-,354,1542,406,-,1948,2302,23,2,-,25,209,26,-,235,260,2,1,-,3,19,8,-,27,30,101,13,-,114,714,149,-,863,977,474,63,-,537,2861,786,-,3647,4184,80,6,-,86,572,113,-,685,771,49,10,-,59,423,143,-,566,625,70,12,-,82,340,78,-,418,500,30,3,-,33,269,61,-,330,363,41,6,-,47,300,64,-,364,411,24,6,-,30,257,100,-,357,387,45,7,-,52,351,90,-,441,493,7,3,-,10,92,29,-,121,131,47,11,-,58,487,76,-,563,621,203,18,-,221,1123,272,-,1395,1616,-,-,-,-,40,8,-,48,48,9,-,-,9,64,13,-,77,86,78,12,-,90,472,102,-,574,664,35,2,-,37,281,58,-,339,376,44,5,-,49,339,79,-,418,467,88,5,-,93,532,109,-,641,734,3,4,-,7,60,45,-,105,112,78,6,-,84,416,82,-,498,582,19,1,-,20,148,29,-,177,197,67,8,-,75,320,53,-,373,448,95,10,-,105,530,115,-,645,750,113,15,-,128,793,152,-,945,1073,32,3,-,35,262,38,-,300,335,128,23,-,151,829,221,-,1050,1201,180,17,-,197,1147,294,-,1441,1638,5,-,-,5,41,8,-,49,54,1,-,-,1,14,1,-,15,16,2,1,1,4,66,7,1,74,78,22607
VARIABLE: PERTENENCIA ÉTNICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indígena,7,-,-,7,27,3,-,30,37,3,-,-,3,9,1,-,10,13,1,-,-,1,17,1,-,18,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,3,3,-,-,-,-,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,12,3,-,15,15,-,-,-,-,5,-,-,5,5,-,-,-,-,4,-,-,4,4,4,2,-,6,38,10,-,48,54,2,-,-,2,19,8,-,27,29,-,-,-,-,4,3,-,7,7,1,1,-,2,13,-,-,13,15,-,-,-,-,2,1,-,3,3,-,-,-,-,29,5,-,34,34,2,-,-,2,6,1,-,7,9,-,-,-,-,5,-,-,5,5,5,-,-,5,72,13,-,85,90,-,-,-,-,4,-,-,4,4,1,-,-,1,5,2,-,7,8,-,-,-,-,4,3,-,7,7,-,-,-,-,3,-,-,3,3,1,1,-,2,11,5,-,16,18,-,-,-,-,4,-,-,4,4,-,1,-,1,9,1,-,10,11,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,8,8,1,-,-,1,10,6,-,16,17,-,-,-,-,5,2,-,7,7,4,-,-,4,29,7,-,36,40,1,-,-,1,7,-,-,7,8,-,-,-,-,1,-,-,1,1,480
Negro/Afrodescendiente,-,-,-,-,-,-,-,-,-,5,2,-,7,25,6,-,31,38,-,-,-,-,3,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,8,8,1,-,-,1,10,2,-,12,13,10,2,-,12,67,10,-,77,89,-,-,-,-,-,2,-,2,2,-,-,-,-,3,-,-,3,3,-,-,-,-,-,1,-,1,1,1,-,-,1,2,-,-,2,3,2,-,-,2,22,7,-,29,31,-,-,-,-,3,-,-,3,3,6,2,-,8,74,19,-,93,101,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,2,3,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,2,3,-,-,-,-,2,1,-,3,3,1,-,-,1,3,2,-,5,6,-,-,-,-,3,1,-,4,4,1,-,-,1,4,2,-,6,7,1,1,-,2,9,4,-,13,15,-,-,-,-,3,-,-,3,3,1,-,-,1,1,-,-,1,2,-,-,-,-,2,1,-,3,3,6,1,-,7,27,2,-,29,36,2,-,-,2,1,-,-,1,3,-,-,-,-,17,3,-,20,20,-,-,-,-,1,-,-,1,1,12,3,-,15,129,47,-,176,191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,596
Palenquero,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,1,-,-,1,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Raizal,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,1,1,-,2,9,2,-,11,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,3,1,-,4,19,2,-,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,-,-,-,-,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,2,1,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56
Rom (Gitano),-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Sin Pertenencia Étnica,5,1,-,6,31,3,-,34,40,281,29,-,310,1351,375,-,1726,2036,19,2,-,21,172,23,-,195,216,-,-,-,-,8,6,-,14,14,98,13,-,111,695,144,-,839,950,451,55,-,506,2645,711,-,3356,3862,69,4,-,73,495,101,-,596,669,46,10,-,56,409,135,-,544,600,68,12,-,80,314,73,-,387,467,27,2,-,29,223,54,-,277,306,35,6,-,41,248,58,-,306,347,18,4,-,22,191,81,-,272,294,42,6,-,48,325,78,-,403,451,-,1,-,1,12,5,-,17,18,29,7,-,36,306,48,-,354,390,164,15,-,179,940,227,-,1167,1346,-,-,-,-,10,3,-,13,13,4,-,-,4,46,10,-,56,60,74,10,-,84,443,100,-,543,627,25,1,-,26,183,37,-,220,246,43,5,-,48,307,72,-,379,427,79,4,-,83,460,94,-,554,637,1,3,-,4,40,37,-,77,81,77,6,-,83,397,78,-,475,558,15,-,-,15,123,21,-,144,159,64,8,-,72,302,49,-,351,423,87,6,-,93,486,109,-,595,688,78,13,-,91,590,121,-,711,802,32,3,-,35,225,33,-,258,293,116,22,-,138,725,189,-,914,1052,158,13,-,171,974,233,-,1207,1378,-,-,-,-,7,1,-,8,8,-,-,-,-,1,-,-,1,1,1,1,1,3,52,6,-,58,61,19520
Sin Información,-,-,-,-,-,-,-,-,-,33,1,-,34,155,24,-,179,213,3,-,-,3,17,2,-,19,22,1,-,-,1,2,-,-,2,3,3,-,-,3,10,5,-,15,18,22,8,-,30,205,71,-,276,306,-,-,-,-,8,2,-,10,10,2,-,-,2,13,5,-,18,20,2,-,-,2,11,1,-,12,14,-,-,-,-,22,4,-,26,26,5,-,-,5,46,6,-,52,57,-,-,-,-,6,2,-,8,8,1,1,-,2,4,4,-,8,10,1,-,-,1,-,1,-,1,2,17,3,-,20,166,28,-,194,214,38,3,-,41,179,44,-,223,264,-,-,-,-,1,-,-,1,1,2,-,-,2,10,2,-,12,14,4,2,-,6,21,1,-,22,28,4,1,-,5,22,6,-,28,33,1,-,-,1,23,5,-,28,29,7,1,-,8,63,11,-,74,82,1,-,-,1,7,1,-,8,9,1,-,-,1,13,4,-,17,18,2,-,-,2,10,3,-,13,15,3,-,-,3,12,3,-,15,18,2,2,-,4,7,3,-,10,14,33,2,-,35,202,31,-,233,268,-,-,-,-,11,2,-,13,13,11,1,-,12,92,26,-,118,130,10,1,-,11,39,10,-,49,60,1,-,-,1,5,-,-,5,6,-,-,-,-,6,1,-,7,7,1,-,-,1,12,1,1,14,15,1947
